No,KSP,KPR,PRD,RVT,RCM,Y
141,6,2,3,5.166666667,4.5,7
142,10,0,1.333333333,0,1,4
143,5,0.25,1.333333333,0,2,9
144,4.333333333,4,8.666666667,5.5,6,8
145,6.666666667,7.25,7.333333333,7.833333333,7.5,8
146,8.333333333,7.25,7.333333333,6.5,7,7
147,10,6,7,9,9,10
148,7.333333333,7.25,6.333333333,6.166666667,6.5,10
149,4.666666667,3,1.666666667,2.166666667,2,2
150,6.333333333,0,6.333333333,6,3.5,9
151,7.666666667,7,7,7.166666667,7.5,7
152,8.666666667,8.25,5.333333333,7.833333333,7,9
153,10,2.75,2,6.333333333,6,10
154,7,5,4.333333333,5.833333333,6,10
155,10,1.25,0,4,2.5,10
156,7,6,8,7.5,7,5
157,5.666666667,3,3.333333333,6,5,8
158,6.333333333,3.75,6.333333333,7.333333333,5,8
159,2.333333333,0,0,1.166666667,3,8
160,5.333333333,3,6.333333333,4.5,5,8
161,8,3.75,5.666666667,6.166666667,5,10
162,7,3,3.666666667,3.666666667,7,10
163,6,7,7.666666667,6.333333333,7.5,5
164,6,0.75,1,3.5,4,8
165,7.666666667,4.75,5.333333333,6.5,5,8
166,2.666666667,0,4,5.166666667,3.5,7
167,5.666666667,3,4,4.166666667,4,7
168,5,1.25,3,3,3,6
169,7.333333333,3.25,6.333333333,3.333333333,5,10
170,4.666666667,4,3,4,4.5,8
171,8,2.5,4.333333333,10,7.5,9
172,8.666666667,2.75,7.333333333,8.833333333,5.5,10
173,6.666666667,5.5,5.666666667,6.166666667,8,7
174,10,3.75,3.333333333,7,5,10
175,10,4.75,6.666666667,4.5,6.5,10
176,10,10,10,6.833333333,4.5,10
177,5.666666667,1.5,0,4.833333333,4.5,7
178,5.333333333,5,5,5.666666667,5,6
179,8,4.5,3.666666667,4.666666667,6.5,9
180,10,5.75,6.333333333,10,10,10
181,7,0,0,3,6,9
182,2.666666667,3,5.666666667,4.166666667,4,10
183,5.666666667,6.25,7,6.5,5.5,3
184,10,8.25,7.333333333,8,9.5,10
185,4.333333333,4.75,2,2.833333333,3,5
186,8.333333333,7,7.333333333,7.5,8.5,10
187,5,5,5,5,5,5
188,9.333333333,9,9,9.166666667,8.5,10
189,7,3.5,4.333333333,5,5.5,10
190,6.666666667,5.75,9.333333333,9.333333333,9.5,10
191,5.333333333,4.5,6,5.166666667,9,8
192,8.333333333,2.25,2.333333333,2.833333333,2,10
193,8,1.25,3.333333333,5.666666667,6.5,9
