No,KSP,KPR,PRD,RVT,RCM,Y
618,6,5,6,6.666666667,6,10
619,10,10,10,10,10,10
620,3.666666667,3.75,4,4.666666667,5,6
621,7.333333333,6,6.666666667,6.833333333,7,8
622,7.666666667,3,2.666666667,6.333333333,5.5,10
623,5,0.75,0.666666667,5,3.5,8
624,5.666666667,0,3.333333333,2.666666667,4,8
625,5.666666667,3.75,5.666666667,5,5,8
626,9.333333333,9.5,9.333333333,7.833333333,8,10
627,7.666666667,7.25,7,7.666666667,7.5,10
628,8,6.75,6.333333333,7.833333333,4.5,10
629,5,0,1.666666667,5.166666667,5.5,5
630,6.333333333,1.25,5.666666667,5,4.5,10
631,6.333333333,2.75,4.666666667,6.833333333,6.5,9
632,10,10,10,10,10,10
633,5.666666667,0,1.333333333,2.5,3.5,8
634,5.666666667,5.75,5.666666667,6,5,7
635,5,3.5,5.333333333,6.666666667,5,9
636,0,0,6.666666667,1.666666667,0,6
637,9.333333333,3.75,4.333333333,4,4,10
638,6,5.75,5.666666667,5.666666667,6,8
639,4,2,2,2.666666667,2.5,8
640,9.666666667,0,0,5,5,10
641,7.333333333,6,5.666666667,5.333333333,5,7
642,5,5,5,5,5,5
643,5,1.25,4.666666667,3.166666667,5,7
644,3.333333333,0,0,5,5,8
645,6.333333333,6.25,6.333333333,6.333333333,6,9
646,8,3,6.333333333,6.5,5,8
647,10,1.25,0,4.333333333,5.5,10
648,0,0,0,1.166666667,0,10
649,5.666666667,1,2.333333333,5,1,8
650,6.666666667,6.5,6.666666667,7.333333333,8,8
651,4.333333333,5.5,6.666666667,4.833333333,4,10
652,7.666666667,2.5,6,7.666666667,6,10
653,10,0,10,9.333333333,7.5,10
654,10,2.5,5,6.833333333,8,10
655,10,0,6.666666667,7,7.5,10
656,8,2.25,5.666666667,6.5,6,10
657,4.333333333,3,3.666666667,3.333333333,3,5
658,5,5,5,5,5,10
659,8,6.5,8,8,8,8
660,0,0,0,9.166666667,10,10
661,9,4.75,3.666666667,3,4,10
662,10,3.5,0,3.5,0,7
663,10,6,9,7.166666667,10,10
664,8.666666667,0,6.666666667,6.166666667,5,7
665,5,3.75,5,8.5,6,10
666,10,10,10,6.166666667,5,10
667,5.333333333,0,0.666666667,3.833333333,2.5,5
668,2.333333333,1.25,1,2.166666667,2,8
669,5.666666667,0,6,7.833333333,5,10
670,9.666666667,1.5,4,6.5,6,10
671,5.666666667,2.75,3,5.166666667,3,6
672,5,0,1.666666667,2.5,3,7
673,6,4,4.666666667,5.5,5,6
674,8.666666667,1.25,6.333333333,5.166666667,5,10
675,1.333333333,6.25,5.333333333,6.333333333,7.5,4
676,9.666666667,6.25,9.666666667,8.5,6,10
677,6,6,6,5.833333333,4.5,10
678,4,0,0,0,0,7
679,5.666666667,1.25,2.333333333,2.333333333,7,8
680,6.666666667,1.25,4,6.5,5,10
681,8.333333333,3.25,6,7,4,10
682,9,8.5,9,8.166666667,9,9
683,8.666666667,7.75,8,8.833333333,8,10
684,8.666666667,7,8,7.833333333,9,8
685,7.333333333,3.75,6.666666667,6.833333333,7,10
686,7.666666667,5.75,10,10,10,10
687,8,0.75,1.666666667,5.666666667,3.5,8
688,9,3.75,5.333333333,5.666666667,5.5,10
689,7.333333333,2,4.333333333,2.5,4,8
690,8.666666667,7.5,10,6.166666667,8,10
691,5.666666667,4.5,4.666666667,5.5,4.5,6
692,6.666666667,0,3,5,5,10
693,8,9,9,9.166666667,10,10
694,10,6.5,3,4.333333333,2.5,10
695,9.333333333,3,6.333333333,7.833333333,7.5,10
696,7.333333333,2,7,6.333333333,7,10
697,10,7.25,7,7.833333333,5,10
698,8.333333333,7.25,9,5.5,8,7
699,6.666666667,4.5,0,8.166666667,9,10
700,6.666666667,1.25,0,10,7.5,10
701,6,7,7,6.833333333,6.5,8
702,8,4.75,7.666666667,9.666666667,7.5,9
703,7.666666667,8,9,7.5,5,10
704,10,10,10,9.333333333,5,10
705,5.666666667,3.75,9,6.333333333,6,10
706,5.666666667,0,0,3.333333333,3,8
707,7.333333333,5.75,7.333333333,6.333333333,6.5,9
708,4.333333333,3.75,4,4.166666667,4.5,9
709,10,3.5,4.666666667,4.833333333,5,10
710,9,3.5,9,7,5.5,9
711,7.666666667,7.25,7.333333333,7.666666667,8,8
712,9.666666667,2,3.666666667,4.333333333,5.5,9
713,7.666666667,8.25,7.666666667,7.333333333,7.5,7
714,5,5,4.666666667,5.5,5,7
715,4,0,0,5.166666667,4,7
716,7.666666667,8,8,7.5,7.5,8
717,3.333333333,3.5,8.666666667,3.666666667,5.5,10
718,5.333333333,2.25,8.666666667,7.666666667,6.5,8
719,10,0.75,2.666666667,8.833333333,8,10
720,1.666666667,0.25,1.333333333,0.833333333,1.5,6
721,10,0,1.666666667,4,4.5,10
722,10,0,3.333333333,5.166666667,7,10
723,6.666666667,1.25,8,6.166666667,6,10
724,6.333333333,3.75,5,6,5,7
725,5,4.25,5.333333333,5.666666667,5,7
726,8.333333333,0.25,5,8.333333333,10,10
727,5,5,5,5,5,7
728,5.666666667,7,7,4.333333333,7,10
729,8,8,8,8,8,8
730,7,4.25,5.333333333,2.333333333,5,10
731,2.333333333,0,0,4.333333333,5,10
732,9.666666667,3.75,2,8.166666667,7,10
733,5,4.25,5,5,5,6
734,6,0,6,6.5,4.5,7
735,7.666666667,5.25,5.333333333,5.333333333,5,8
736,8,5,5,5,5,9
737,10,4,1.333333333,8.333333333,2,10
738,5.666666667,4,4,4.166666667,4,5
739,10,0,10,10,7,10
740,7,0,4.333333333,6,4,7
741,10,10,10,10,10,10
742,6,0.25,0,1.166666667,5,7
743,7.666666667,3.75,6.333333333,6.166666667,7,9
744,10,10,10,10,10,10
745,9,6.25,6.666666667,8.166666667,7.5,9
746,7,1.5,7.666666667,7.5,9,10
747,10,5,5.333333333,6.666666667,6.5,9
748,5,5,5,2.333333333,5,10
749,8,0.75,7.333333333,6.5,5.5,4
750,5.666666667,4.5,6.333333333,8.333333333,7.5,10
751,9.666666667,2.25,4.333333333,3,7,9
752,5,5,5,5,5,5
753,6.666666667,3.75,8,8.833333333,7.5,9
754,10,6.75,9.333333333,9.333333333,9,10
755,10,10,10,10,10,10
756,7.333333333,0,5,5.5,5,8
757,0,3.75,5.333333333,6.333333333,5,8
758,10,0,4.666666667,5.333333333,10,10
759,7.666666667,1.5,3,1.666666667,3.5,9
760,8.333333333,5.75,7.333333333,3.666666667,5.5,10
761,8.666666667,5.5,8.333333333,7.333333333,8,10
762,10,10,10,5,5,5
763,10,10,10,10,10,10
764,3.333333333,4,5,1.833333333,3.5,8
765,9,3.5,7,9,10,10
766,6.333333333,7,8,8.666666667,8,10
767,6,1.25,1.333333333,2.166666667,1.5,4
768,5.666666667,2,4.333333333,3.166666667,4,6
769,2.333333333,4.25,6.666666667,0.833333333,3,10
770,6.333333333,3,7,3.833333333,5,8
771,5,5,5,5,5,5
772,6.333333333,6.5,6.333333333,6.666666667,6,8
773,6,4.75,5,5,5,6
774,5,4.25,4.333333333,2.333333333,4,7
775,4.333333333,4,4.666666667,4.833333333,5.5,8
776,6.333333333,3.5,2.666666667,3.166666667,3,10
777,10,3.75,5,4.5,3.5,10
778,6,2.5,5,3.5,5.5,6
779,6.333333333,4.75,7,7.166666667,8,9
780,10,10,10,10,10,10
781,6.666666667,2.25,3,4,4,7
782,10,3,5,5.5,5,10
783,6.666666667,0,0,3.333333333,4.5,10
784,5,0,1.666666667,1.333333333,2,8
785,4,6.75,6.333333333,5.333333333,5,8
786,10,10,10,10,10,10
787,4.666666667,5,4,5.166666667,5,3
788,10,10,9.666666667,10,9.5,10
789,8,2.25,2.666666667,3.333333333,1.5,10
790,5,0,0,0,0,5
791,2.666666667,0,0,4.666666667,5,8
792,10,5.5,1.333333333,5.166666667,2,10
793,5,6,5.333333333,6.333333333,7,7
794,8,7.25,8.333333333,7.666666667,8.5,8
795,7,7,7,7,7,6
796,10,2.5,6,8.666666667,5,10
797,7.666666667,0,5,6.833333333,6.5,10
798,9.333333333,8.5,6.333333333,5.666666667,6.5,10
799,6.333333333,5,5,4,6,10
800,5.333333333,5.5,5.333333333,5.833333333,3.5,10
801,7.666666667,6.25,4,4,4,9
802,10,2.75,5.333333333,4.5,5,8
803,8.666666667,5.5,8,6.166666667,7.5,10
804,5.666666667,5,6,5.166666667,5.5,6
805,4.666666667,1,1,1.166666667,1,9
806,7.666666667,7.75,8.333333333,7.833333333,7,7
807,5.333333333,4.75,4.666666667,5.333333333,4.5,7
808,5.333333333,7,7,5.666666667,6.5,3
809,7,0,5.666666667,5.333333333,5,7
810,7.666666667,1.5,4,5.333333333,4,10
811,10,8.75,9.333333333,8.166666667,8.5,10
812,10,10,10,10,10,10
813,8.333333333,2,8.666666667,6.5,5.5,9
814,5.333333333,5.25,5,4.166666667,4.5,9
815,5.333333333,0,1.333333333,5.333333333,3,8
816,6,3,5.333333333,5,5,7
817,5,4.25,6.666666667,7.666666667,6,5
818,10,3.75,6.666666667,5.833333333,5,10
819,6,5.75,5.333333333,6,6,6
820,7.333333333,5.75,5,5.666666667,6,9
821,9,3,4,3,4,8
822,10,2.25,4.666666667,4.166666667,3,10
823,5,1,1,1.833333333,1.5,5
824,6,6.5,7,6,6,10
825,7.333333333,4.25,5,7.333333333,7,8
826,9,1,1,7.666666667,3,8
827,5.333333333,4.75,5.666666667,8.833333333,7.5,7
828,9,2,6.333333333,4.666666667,5,9
829,6.666666667,1,5,3,5,10
830,8.333333333,1,6.333333333,5.5,3.5,10
831,8.666666667,8,8.666666667,8.333333333,8,9
832,5.333333333,5.25,5,5.833333333,6,6
833,5,5,5,5.5,5,7
834,5.666666667,6.5,6,6.5,5.5,6
835,6.333333333,6,6,6,6,6
836,3.333333333,0,0.666666667,4.833333333,0,5
837,10,10,10,10,10,10
838,10,8,8,5.166666667,6,7
839,10,2.75,8.333333333,9,10,10
840,4,8.5,6.333333333,4.666666667,8.5,9
841,10,10,6.333333333,6.166666667,7,10
842,10,2.75,2.666666667,7.5,8,10
843,2,2,2,4,3.5,8
844,6.666666667,2.75,3.666666667,3,4,8
845,6.333333333,5,10,6.666666667,3.5,10
846,8,9.25,10,9.5,10,8
847,6.666666667,5,5,5,5,10
848,5.666666667,0,1.333333333,5.166666667,2.5,7
849,10,9.5,9.666666667,8.5,9.5,10
850,6.333333333,2,3,3.833333333,3,6
851,6.333333333,7.25,6.333333333,6,6.5,8
852,5,4.25,5,3,4.5,6
853,7.333333333,4.5,8,5.666666667,4,8
854,7.333333333,7,6.666666667,6.5,7,8
855,6.666666667,0,0,4.166666667,5,10
856,10,10,10,10,10,10
857,2.666666667,0,0,0,2.5,5
858,8.666666667,0,0,5.5,3,10
859,9,9.25,9,9.166666667,9.5,9
860,8.333333333,5.75,5,6.833333333,10,10
861,7,5,7,6.666666667,6,7
862,7.666666667,8.5,6.666666667,6.5,7,8
863,7,4,5.333333333,5.666666667,5,8
864,5.333333333,5.25,4.666666667,6,6.5,3
865,10,4,5.333333333,1.5,2.5,10
866,9.666666667,10,10,9.666666667,9.5,10
867,10,10,10,10,10,10
868,8,8.75,10,9.5,10,9
869,10,7.25,6.666666667,10,10,10
870,8.333333333,7.75,4.666666667,6,6.5,9
871,9.333333333,10,10,9.5,9.5,10
872,6,4.5,3.333333333,4.666666667,6,8
873,0,0,0.333333333,0.666666667,3,0
874,10,3.75,7,4.166666667,6,10
875,10,2.75,0,10,6,10
876,6,5.5,6.666666667,6.166666667,7,7
877,7.666666667,1,2.333333333,8.333333333,6.5,8
878,4.666666667,0,0,0,0,10
879,8,0.25,0,0.833333333,0,10
880,6.666666667,0.25,0,4.333333333,4.5,9
881,10,10,10,10,10,10
882,6.666666667,7.5,7,8,9.5,9
883,5.333333333,0.5,1.666666667,4.666666667,3.5,8
884,5.666666667,4,4.333333333,4,4.5,9
885,6.333333333,6.25,7.333333333,7.333333333,8,8
886,8,7.25,8,8,7.5,9
887,4.333333333,6,6.333333333,5.166666667,5.5,5
888,6.333333333,7,4.666666667,6.333333333,10,8
889,8.333333333,7.75,5.333333333,6.833333333,7,10
890,9,6,9,6.5,7.5,9
891,8,4.5,3.333333333,7.166666667,4,9
892,8,5.25,5.666666667,6.666666667,7,10
893,10,5.75,10,10,10,10
894,10,4.75,4.666666667,5.5,4.5,10
895,10,1.25,4.333333333,9.333333333,6,10
896,7.666666667,5.25,4.666666667,4.5,5,8
897,3.333333333,4.25,2.666666667,3.833333333,4,4
898,7.333333333,2,5.333333333,5.333333333,4,7
899,10,5,10,10,10,10
900,6,0.25,5,3.333333333,4.5,8
901,5,7.25,7.333333333,6.5,7,9
902,9.333333333,8.75,9.666666667,7.666666667,9,10
903,0,0.25,0,0,0,0
904,5,4.5,6.666666667,7.166666667,6,7
905,7.666666667,2.5,0,2.666666667,5,8
906,4.333333333,1.5,7.333333333,5.166666667,3,10
907,8,8,8,7.5,8,8
908,5,3.75,4,3.666666667,3,10
909,10,10,10,10,10,10
910,6.333333333,4,5.333333333,7.5,3.5,7
911,6.666666667,6.5,7.666666667,8.5,8,5
912,6.666666667,0,6,4.833333333,5,10
913,9.666666667,3.5,0,8,5.5,10
914,10,0.25,0,10,10,10
915,7,5.25,7,5.333333333,5,7
916,8,5,7.333333333,7.833333333,7.5,10
917,10,8.5,7.666666667,8,7.5,10
918,7.333333333,7.75,8,7.333333333,7,10
919,8.333333333,3.75,5,5,5,10
920,3.333333333,3.5,5,4.333333333,5,7
